 FLOW_OUT_1.txt
observed       L95PPU         U95PPU         M95PPU         Best_Sim
1.330000       0.012445       0.039664       0.019738       0.041560       
0.980000       0.008870       0.291662       0.154117       0.033670       
3.270000       0.178049       4.323091       2.906300       1.469000       
2.240000       0.037840       0.067576       0.052420       0.069660       
0.330000       0.027280       0.052016       0.039217       0.053750       
0.130000       0.017416       0.038676       0.027335       0.040160       
0.000000       0.009613       0.028090       0.017977       0.029380       
0.000000       0.005754       0.021922       0.012865       0.023050       
0.000000       0.004032       0.018266       0.010135       0.019260       
0.290000       0.006554       0.019123       0.011822       0.020000       
0.430000       0.015415       0.026515       0.019978       0.027290       
0.650000       0.022477       0.217956       0.113048       0.032130       
1.230000       0.026606       0.035609       0.031827       0.036160       
1.030000       0.014522       0.022416       0.019027       0.022900       
2.350000       0.013738       0.020694       0.017613       0.021110       
0.730000       0.015685       0.021994       0.019015       0.022180       
0.480000       0.016773       0.022490       0.019643       0.022500       
0.110000       0.009374       0.014553       0.011861       0.014440       
0.000000       0.005507       0.010165       0.007669       0.009984       
0.000000       0.003635       0.007851       0.005513       0.007586       
0.000000       0.003146       0.006967       0.004786       0.006641       

p-factor= 0.14
r-factor= 0.11
R2= 0.08
Nash_Sutclif= -0.16


 FLOW_OUT_3.txt
observed       L95PPU         U95PPU         M95PPU         Best_Sim
46.270000      4.505320       23.369883      17.080666      14.820000      
59.360001      39.465202      192.615189     147.806656     101.699997     
143.550003     61.420048      268.372955     209.926682     156.600006     
233.869995     36.876350      106.234642     83.603333      60.349998      
91.639999      11.840275      16.820950      14.686667      15.360000      
6.960000       0.212169       3.184533       1.011483       3.392000       
0.970000       0.025956       1.367582       0.288150       1.461000       
0.480000       0.019352       0.434278       0.113603       0.463200       
0.850000       0.016550       1.093043       0.225092       1.168000       
10.820000      0.021825       3.784036       0.703005       4.046000       
28.090000      0.118638       6.613578       4.634590       5.790000       
40.009998      4.256225       16.252274      13.884999      15.110000      
48.169998      1.480037       7.094713       5.493500       6.561000       
56.700001      65.968925      197.981598     158.918335     124.900002     
213.419998     37.700500      199.829468     148.073334     99.139999      
329.299988     58.992199      140.299789     111.998329     79.250000      
72.669998      33.461052      52.140903      43.365002      36.450001      
10.330000      9.291870       17.702921      13.641334      16.309999      
2.970000       0.048789       6.102057       1.656475       6.524000       
0.720000       0.036861       4.658825       1.140727       4.981000       
3.100000       0.033916       5.407439       1.217257       5.782000       
22.889999      0.042653       7.876913       1.880903       8.423000       
36.410000      15.252450      69.164543      53.356670      42.060001      
72.680000      8.343246       36.922459      25.155664      15.210000      
66.180000      38.281403      125.956390     102.860008     85.279999      
97.110001      121.134003     375.383972     304.899994     241.600006     
150.589996     126.773750     347.901215     280.566681     212.800003     
458.170013     90.269676      147.575806     127.368324     104.199997     
423.709991     59.305176      85.915176      72.741669      66.120003      
241.699997     0.241279       49.997105      19.545137      29.350000      
43.450001      0.121585       23.366232      10.859024      22.740000      
15.970000      0.098782       19.290449      8.044627       20.629999      
23.639999      0.089307       17.943783      6.823843       19.190001      
40.430000      0.084966       17.616335      6.857375       18.840000      
57.029999      20.041800      38.966202      33.598335      34.830002      
72.389999      28.065800      38.676403      35.228336      39.419998      
61.619999      28.707800      97.000206      73.808327      53.259998      
77.900002      56.853424      174.781540     143.384995     111.900002     
173.649994     41.465950      119.501053     94.605003      72.690002      
415.100006     35.868023      66.788467      55.546665      48.430000      
277.350006     42.190727      69.487053      57.651669      49.150002      
73.370003      2.184744       21.987778      11.872001      20.360001      
10.470000      0.072539       14.242295      5.205968       15.230000      
13.220000      0.057917       12.250140      3.138273       13.100000      
10.850000      0.043190       11.613996      2.654755       12.420000      
23.260000      0.068011       12.735805      3.812124       13.620000      
129.690002     8.881895       63.472809      41.349003      23.700001      
138.770004     31.416174      83.299309      68.351662      57.540001      
201.979996     96.686172      230.849319     192.518326     150.300003     
155.270004     108.376495     192.037033     167.833328     147.699997     
448.420013     107.823120     163.232468     137.816666     107.599998     
459.179993     131.419998     220.460052     183.333328     153.500000     
226.210007     109.789253     158.315765     134.933334     119.400002     
59.330002      3.906395       63.107822      39.065002      59.130001      
16.129999      0.210136       45.517601      24.271666      48.680000      
4.810000       0.179818       39.421017      17.655928      42.160000      
16.580000      0.167783       37.363773      16.169353      39.959999      
62.240002      1.204219       35.776878      15.665166      38.189999      
256.359985     87.996674      298.268829     230.051682     172.399994     
122.720001     67.681999      102.556023     94.625000      94.440002      
115.000000     64.725197      112.746811     101.438332     99.290001      
146.210007     60.674648      87.219696      77.821663      75.589996      
225.839996     8.602411       32.487026      20.312166      33.950001      
340.769989     63.144226      159.664261     130.678345     107.900002     
326.320007     133.160248     197.789017     167.483322     135.199997     
197.050003     78.765549      116.857430     100.528328     94.870003      
31.150000      0.255392       58.285553      32.002941      56.810001      
11.440000      0.201362       45.900280      23.409033      49.090000      
19.100000      0.475776       42.562420      20.496466      45.500000      
44.599998      4.128939       40.370403      20.249834      42.900002      
50.490002      8.497410       37.609783      19.813665      39.650002      
55.730000      11.593412      34.790848      18.900000      36.410000      
69.220001      14.448175      31.378307      19.448334      32.560001      
111.110001     16.297825      83.346672      64.133339      56.540001      
155.419998     32.785954      58.255089      48.268337      60.040001      
631.669983     133.885254     306.579773     256.333344     208.000000     
255.000000     22.215425      50.879292      39.395000      47.189999      
26.420000      0.157750       31.062868      16.018867      33.220001      
17.910000      0.125391       25.713953      10.293906      27.500000      
6.510000       0.103686       21.777218      6.729494       23.290001      
17.540001      0.096282       20.514818      6.015980       21.940001      
36.080002      1.342435       20.820463      7.380000       22.180000      
52.349998      4.555715       20.115410      8.638333       21.200001      
59.099998      5.411260       18.479677      8.235333       19.389999      
55.590000      3.977357       16.234472      7.919000       17.090000      
60.889999      6.960608       99.414337      71.131500      48.740002      
88.389999      0.206338       21.387379      15.831147      16.400000      
219.330002     0.938083       54.854301      35.989265      22.469999      
134.919998     0.090192       7.657664       4.940667       5.482000       
31.590000      0.036229       0.384173       0.112302       0.408400       
14.520000      0.065586       5.882955       2.734018       0.062950       
0.420000       0.026468       0.070721       0.050345       0.045800       
2.000000       0.018476       0.055135       0.039335       0.038410       
14.250000      0.015614       1.076154       0.218360       1.150000       
58.400002      0.108785       8.613951       4.317835       3.744000       
53.360001      0.087686       6.745420       4.314475       4.655000       
52.180000      0.412930       19.819939      13.345000      8.844000       
83.910004      95.453827      440.932007     340.564972     248.600006     
305.769989     205.777252     477.207733     392.133331     311.299988     
497.130005     27.898701      66.074608      39.619999      33.240002      
184.199997     15.179026      41.028450      24.641668      24.459999      
30.969999      0.130043       12.625641      5.423002       13.390000      
4.650000       0.047090       9.482730       1.972063       10.140000      
5.040000       0.037669       7.772426       1.436387       8.311000       
5.600000       0.032027       8.145084       1.492500       8.710000       
20.709999      0.031516       9.251975       1.791532       9.894000       
38.689999      0.044250       9.790627       2.321723       10.470000      
40.400002      0.040951       9.425827       2.422682       10.080000      
48.580002      2.509442       34.728607      23.831833      16.799999      
56.580002      0.499101       10.293595      7.398817       10.980000      
57.889999      1.253502       12.536148      9.566833       10.280000      
60.840000      1.284527       13.941622      9.491167       7.333000       
13.460000      0.020837       0.069877       0.036362       0.073300       
1.590000       0.015365       0.058724       0.028908       0.061750       
2.690000       0.012404       0.050753       0.024245       0.053430       
4.980000       0.011706       0.045548       0.022063       0.047910       
2.630000       0.009355       0.039281       0.018448       0.041370       
6.330000       0.008150       0.037541       0.016689       0.039590       
19.650000      0.095115       9.260671       4.677000       1.572000       
26.809999      1.332680       37.072117      25.374334      16.469999      
29.209999      1.851177       27.803970      19.255499      11.870000      
32.029999      36.521225      192.924347     147.261673     102.199997     
111.699997     33.390575      195.528946     139.703323     86.129997      
127.099998     20.114513      38.767471      30.686668      20.480000      
23.690001      0.055477       5.846600       1.270578       0.945700       
2.260000       0.030759       0.106025       0.055518       0.049970       
0.550000       0.020554       0.036682       0.030732       0.037670       
0.270000       0.015106       0.029178       0.023695       0.030040       
0.220000       0.012079       0.024452       0.019395       0.025210       
0.770000       0.014846       0.466641       0.099158       0.498100       
10.320000      0.028207       2.042728       0.415672       2.183000       
25.840000      0.965533       19.245815      12.865483      8.064000       
30.219999      1.910985       14.251117      10.766500      8.867000       
39.669998      9.477158       146.380798     102.658173     56.369999      
70.370003      0.028419       0.506870       0.335492       0.467600       
47.970001      0.035767       2.375677       1.145247       0.031760       
13.910000      0.027516       0.033904       0.030383       0.032420       
0.350000       0.018643       0.024436       0.021128       0.022970       
0.250000       0.013431       0.018683       0.015595       0.017260       
0.200000       0.010409       0.015158       0.012292       0.013780       
0.190000       0.009014       0.013329       0.010661       0.011990       

p-factor= 0.27
r-factor= 0.34
R2= 0.33
Nash_Sutclif= 0.17


 FLOW_OUT_7.txt
observed       L95PPU         U95PPU         M95PPU         Best_Sim
14.680000      0.314610       6.835955       4.897217       6.090000       
20.129999      4.506392       16.398659      14.010166      15.140000      
32.200001      1.534185       6.917915       5.462500       6.415000       
44.910000      66.333145      197.625809     158.879990     124.900002     
143.509995     37.303177      186.052307     139.615005     95.879997      
163.289993     54.277748      113.837265     92.888336      69.029999      
36.520000      31.413399      45.437210      38.848335      33.830002      
6.950000       10.146100      16.627600      13.603333      15.720000      
2.050000       0.021456       6.155431       1.705612       6.583000       
0.550000       0.017417       4.797785       1.200728       5.131000       
2.080000       0.018392       5.303595       1.223030       5.672000       
12.510000      0.018325       7.134312       1.694558       7.630000       
22.180000      15.700650      69.388351      53.196667      40.980000      
44.610001      8.190972       24.892881      18.086166      12.890000      
35.090000      30.385700      76.098198      65.584999      59.599998      
53.520000      112.615746     302.084534     252.050003     208.899994     
85.519997      123.781250     345.843750     278.416656     211.100006     
373.470001     88.817528      137.128983     119.716675     99.169998      
306.000000     58.233948      85.929100      71.823326      65.610001      
113.190002     0.318239       51.310787      20.358482      30.260000      
23.120001      0.102860       24.740877      11.743304      23.969999      
5.820000       0.085187       20.224314      8.788857       21.629999      
20.209999      0.078465       18.625448      7.394923       19.920000      
28.910000      0.075770       18.027027      7.235994       19.280001      
37.340000      20.371649      39.277344      33.880001      34.790001      
50.110001      28.222124      38.378254      35.166664      39.090000      
54.509998      28.778776      93.452721      72.058327      52.689999      
60.209999      57.023777      168.745636     139.654999     111.300003     
125.029999     41.782703      109.439301     89.013329      71.510002      
192.000000     36.404449      65.632545      55.054996      48.840000      
157.570007     43.235752      67.443504      56.610004      49.470001      
52.119999      1.773149       23.166756      12.320000      21.600000      
7.700000       0.066688       15.483900      6.080531       16.559999      
10.060000      0.040094       13.408177      3.916584       14.340000      
8.250000       0.037477       12.547956      3.326646       13.420000      
14.400000      0.074453       13.269038      4.221797       14.190000      
66.620003      8.777480       48.855320      33.227665      22.350000      
88.949997      29.963501      76.526512      63.315002      54.250000      
138.669998     85.104019      206.532471     172.988327     137.100006     
122.690002     99.511375      168.934769     149.974991     135.899994     
285.640015     100.177376     144.225494     124.066673     100.000000     
254.139999     124.822250     214.140533     178.700012     147.800003     
151.619995     110.252502     154.197479     132.300003     115.199997     
48.040001      4.324681       63.845524      38.033001      56.279999      
14.620000      0.181147       43.627502      23.733194      46.660000      
5.410000       0.157568       37.877216      17.369696      40.509998      
12.660000      0.148065       35.623840      15.777194      38.099998      
37.650002      1.521480       33.675686      15.202334      35.919998      
109.150002     88.032303      284.045715     221.793335     168.800003     
67.889999      67.460075      101.129410     93.106667      91.720001      
77.660004      64.793350      111.337616     100.301666     97.290001      
112.949997     60.967148      86.584709      77.386665      73.989998      
146.029999     8.992796       31.972464      20.422667      33.090000      
244.229996     63.673599      157.622391     129.586670     107.400002     
272.320007     134.259125     198.608536     168.300003     135.500000     
184.839996     80.046448      118.250534     101.756660     95.699997      
25.330000      0.293821       59.710625      32.929077      57.939999      
14.940000      0.192593       46.946640      24.285934      50.209999      
13.710000      0.809630       43.257217      21.234449      46.220001      
34.990002      4.755634       40.673012      20.797335      43.180000      
42.610001      8.844018       37.660511      20.103500      39.680000      
46.639999      11.731988      34.575542      19.001665      36.169998      
51.619999      14.506937      31.129749      19.396666      32.290001      
75.379997      16.539024      83.737465      64.438332      56.549999      
105.970001     33.203926      58.422665      48.403336      60.189999      
353.000000     134.375504     305.854492     256.316681     208.399994     
175.979996     22.777637      51.990955      40.146667      48.209999      
27.830000      0.254131       32.321728      16.959932      34.560001      
24.930000      0.151398       27.005613      11.233009      28.879999      
3.530000       0.095923       23.001240      7.607235       24.600000      
8.890000       0.106986       21.450270      6.693249       22.940001      
30.360001      1.751889       21.342596      7.924500       22.709999      
37.720001      4.851625       20.377752      8.930500       21.459999      
40.000000      5.592183       18.622343      8.414666       19.530001      
43.650002      4.151230       16.376678      8.095666       17.230000      
42.340000      5.705933       57.822502      43.201504      35.410000      
52.340000      0.213970       21.482073      16.042229      16.730000      
139.320007     1.103716       55.447979      36.567966      23.270000      
74.980003      0.057152       6.734275       4.771122       6.442000       
18.090000      0.006885       1.143754       0.260027       1.223000       
8.580000       0.012462       1.989973       0.980650       0.159000       
0.320000       0.004273       0.142081       0.065437       0.059230       
2.390000       0.005018       0.398533       0.117535       0.426000       
8.920000       0.005955       1.738371       0.349123       1.859000       
34.740002      0.074540       8.760296       4.487051       3.988000       
33.070000      0.058742       6.795858       4.425710       4.786000       
34.290001      0.470391       19.904835      13.412915      8.903000       
55.840000      94.827797      403.302734     317.893341     241.899994     
198.839996     203.046265     445.678833     369.733368     298.000000     
308.329987     23.728300      65.522797      36.478333      31.860001      
125.529999     15.197850      41.980595      24.980001      24.820000      
38.580002      0.165403       13.890434      6.067917       14.420000      
5.960000       0.032157       10.500317      2.431335       11.230000      
4.310000       0.017971       8.767749       1.698577       9.377000       
5.180000       0.017820       8.859360       1.662360       9.475000       
15.410000      0.018719       9.565269       2.003470       10.230000      
23.180000      0.029445       9.799011       2.487412       10.480000      
25.400000      0.031299       9.249449       2.483976       9.892000       
30.809999      2.664123       34.718723      23.819502      16.370001      
32.810001      0.542561       10.530066      7.677300       11.230000      
35.470001      1.419832       12.743616      9.796833       10.620000      
33.680000      1.551550       14.211451      9.821500       7.972000       
10.440000      0.003992       0.196185       0.061197       0.209600       
0.750000       0.003495       0.126607       0.045541       0.135200       
3.830000       0.003224       0.112101       0.040321       0.119700       
2.030000       0.003018       0.099094       0.035705       0.105800       
1.580000       0.002781       0.087777       0.031938       0.093710       
4.550000       0.002659       0.149747       0.041602       0.160000       
9.700000       0.079054       9.490440       4.861825       1.878000       
14.480000      1.427793       37.181255      25.485167      16.549999      
16.940001      1.990242       28.075808      19.501833      12.070000      
23.990000      36.781124      190.671722     146.291672     102.500000     
69.919998      33.113125      165.649399     120.834991     78.959999      
63.209999      20.923576      39.341854      31.335001      21.219999      
15.770000      0.100128       6.807757       1.615358       1.679000       
3.850000       0.004446       0.486706       0.119373       0.050740       
1.260000       0.003378       0.047554       0.029263       0.043910       
0.340000       0.003115       0.046950       0.025977       0.038880       
0.400000       0.002873       0.045532       0.023249       0.035540       
0.620000       0.004108       0.933487       0.181506       0.998200       
7.900000       0.016399       2.295259       0.512373       2.454000       

p-factor= 0.36
r-factor= 0.49
R2= 0.33
Nash_Sutclif= 0.26


